id,producer_id,name,name_short,variant_name,variant_name_short,model_name,erp_product_id,shop_id,shop_variant_id,show_from,show_to,ean,parent_product_id,product_availability_id,price_selling,price_old,has_variant,vat_rate_id,product_category_id,producer_code,season,date_created,partner_id,sold_out_score,category1,category2,category3,category4,producer
426236,67,Křeslo Regatta Isla Double Chair - černá,Křeslo Regatta Isla Double Chair,Barva: černá,černá,Isla Double Chair,658115,149320,880238,2026-04-19 00:00:00,2036-04-20 00:00:00,5063019673264,426234,1,1329,1329,,1,175,RCE513_28P_000,SS26,2026-04-21 00:59:55,,0,Kempingový nábytek,Kempingové židle a křesla,Kempingové židle a křesla,Kempingové židle a křesla,Regatta
530852,67,Pánská košile Regatta Mindano - S / tmavě modrá,Pánská košile Regatta Mindano,Velikost: S / Barva: tmavě modrá,S / tmavě modrá,Mindano,762569,183061,1120308,2026-03-19 00:00:00,2036-04-20 00:00:00,5063516321286,530820,2,429,719,,1,230,RMS228_YSJ_50,SS26,2026-04-21 00:59:55,,1,Oblečení,Trika,Pánská trika a košile,Pánské košile,Regatta
515860,687,Dětská softshellová bunda WAMU Mountain Bike - 140-146 / oranžová/modrá,Dětská softshellová bunda WAMU Mountain Bike,Dětská velikost: 140-146 / Barva: oranžová/modrá,140-146 / oranžová/modrá,Mountain Bike,745161,178111,1086153,2026-01-08 00:00:00,2036-04-20 00:00:00,8596040211633,515852,10,1899,1899,,1,242,103622,SS26,2026-04-21 00:59:55,,0.9,Oblečení,Bundy,Přechodné jarní a podzimní bundy,Dětské jarní a podzimní bundy,WAMU
490828,68,Dětská lyžařská bunda Dare 2b Send It! Jacket - 170-176 / šedá,Dětská lyžařská bunda Dare 2b Send It! Jacket,Dětská velikost: 170-176 / Barva: šedá,170-176 / šedá,Send It! Jacket,725033,170379,1028409,2025-10-15 00:00:00,2036-04-20 00:00:00,5063516216650,490801,10,1149,2549,,1,215,DKP564_0IB_C20,FW25,2026-04-21 00:59:55,,0.7,Oblečení,Bundy,Zimní bundy,Dětské zimní bundy,Dare 2b
475708,263,Dámské kalhoty High Point Road Runner 5.0 Lady Pants - L / černá,Dámské kalhoty High Point Road Runner 5.0 Lady Pants,Velikost: L / Barva: černá,L / černá,Road Runner 5.0 Lady Pants,710655,166360,992728,2025-09-30 00:00:00,2036-04-20 00:00:00,8591788549680,475704,2,2959,3290,,1,115,2926413,SS26,2026-04-21 00:59:55,,1,Oblečení,Outdoorové kalhoty,Dámské kalhoty,Dámské kalhoty,High Point
531344,315,Pánské trekové boty Scarpa Ribelle Cross 2 Gtx,Pánské trekové boty Scarpa Ribelle Cross 2 Gtx,,,Ribelle Cross 2 Gtx,762992,183195,,2026-03-16 00:00:00,2036-04-20 00:00:00,,,2,3949,4389,true,1,250,,,2026-04-21 00:59:55,,,Boty,Trekové boty,Pánské trekové boty,Pánské nízké trekové boty,Scarpa
524629,154,Elektrická pumpa Intex Quickfill USB200R,Elektrická pumpa Intex Quickfill USB200R,,,Quickfill USB200R,750893,180813,,2026-02-12 00:00:00,2036-04-20 00:00:00,,,2,409,449,true,1,380,,,2026-04-21 00:59:55,,,Vybavení,Pumpy na paddleboardy a matrace,Pumpy na paddleboardy a matrace,Pumpy na paddleboardy a matrace,Intex
254293,273,Bouldermatka Ocún Sitpad,Bouldermatka Ocún Sitpad,,,Sitpad,473567,101812,,2025-01-13 00:00:00,2036-04-20 00:00:00,,,2,999,1090,true,1,169,,,2026-04-21 00:59:55,,1,Horolezecké vybavení,Bouldermatky,Bouldermatky,Bouldermatky,Ocún
535010,157,Dámské sandály Hi-Tec Hirel Wo'S - 37 / béžová,Dámské sandály Hi-Tec Hirel Wo'S,Velikost bot (EU): 37 / Barva: béžová,37 / béžová,Hirel Wo'S,769006,184303,1130046,2026-04-19 00:00:00,2026-04-19 00:00:00,5902786773893,535002,1,1199,1199,,1,259,G00000000872319,SS26,2026-04-21 00:59:55,,0,Boty,Sandály,Dámské sportovní sandály,Dámské sportovní sandály,Hi-Tec
476200,217,Ponožky Zulu Merino Allseason - 39-42 / šedá/žlutá,Ponožky Zulu Merino Allseason,Velikost ponožek: 39-42 / Barva: šedá/žlutá,39-42 / šedá/žlutá,Merino Allseason,707998,166480,993882,2025-04-29 00:00:00,2036-04-20 00:00:00,8595698841964,476195,2,239,339,,1,125,,SS26,2026-04-21 00:59:55,,1,Oblečení,Doplňky k oblečení,Ponožky,Ponožky,Zulu
200114,4,Nepromokavý obal Ferrino Busta Impermeabile M,Nepromokavý obal Ferrino Busta Impermeabile M,,,Busta Impermeabile M,165435,84481,,2025-12-01 00:00:00,2036-04-20 00:00:00,8014044965043,,2,209,250,,1,420,78331-HCU,SS26,2026-04-21 00:59:55,,,Vybavení,Vaky a obaly,"Pouzdra na mobily, tablety","Pouzdra na mobily, tablety",Ferrino
230591,67,Dámský zimní kabát Regatta Starler,Dámský zimní kabát Regatta Starler,,,Starler,202066,93767,,2025-01-13 00:00:00,2036-04-20 00:00:00,,,2,1249,2899,true,1,210,,,2026-04-21 00:59:55,,1,Oblečení,Bundy,Zimní bundy,Dámské zimní bundy,Regatta
538526,68,Dětské triko Dare 2b Amusing Tee Dusky Orchid - 146-152 / růžová,Dětské triko Dare 2b Amusing Tee Dusky Orchid,Dětská velikost: 146-152 / Barva: růžová,146-152 / růžová,Amusing Tee Dusky Orchid,768615,185220,1138306,2026-04-14 00:00:00,2036-04-20 00:00:00,5063516398486,538524,2,259,439,,1,235,DKT465_ZIA_C11,SS26,2026-04-21 00:59:55,,0.8,Oblečení,Trika,Dětská trika,Dětská trička s krátkým rukávem,Dare 2b
548466,67,Dámské triko Regatta Botanna Polo - XXXL / béžová,Dámské triko Regatta Botanna Polo,Velikost: XXXL / Barva: béžová,XXXL / béžová,Botanna Polo,778783,187906,1160668,2026-04-15 00:00:00,2036-04-20 00:00:00,5063516367895,548458,1,409,689,,1,233,RWT400_5BD_20L,SS26,2026-04-21 00:59:55,,0.7,Oblečení,Trika,Dámská trika a košile,Dámská trika s krátkým rukávem,Regatta
15140,79,Dámské boty Meindl Island Lady MFS Active,Dámské boty Meindl Island Lady MFS Active,,,Island Lady MFS Active,19764,25782,,2025-01-13 00:00:00,2036-04-20 00:00:00,,,2,8279,8799,true,1,258,,,2026-04-21 00:59:55,,1,Boty,Trekové boty,Dámské trekové boty,Dámské kotníkové trekové boty,Meindl
26714,67,Dámské kalhoty Regatta Wms Pack It O/Trs,Dámské kalhoty Regatta Wms Pack It O/Trs,,,Wms Pack It O/Trs,68152,51469,,2025-01-13 00:00:00,2036-04-20 00:00:00,,,2,519,849,true,1,115,,,2026-04-21 00:59:55,,1,Oblečení,Outdoorové kalhoty,Dámské kalhoty,Dámské kalhoty,Regatta
473475,193,Zavírací nůž Gerber Pledge - zelená,Zavírací nůž Gerber Pledge,Barva: zelená,zelená,Pledge,702250,153317,987720,2026-03-01 00:00:00,2036-04-20 00:00:00,013658166875,435621,1,1109,1089,,1,333,1067525,SS26,2026-04-21 00:59:55,,0,Vybavení,Nože a multitooly,Zavírací kapesní nože,Zavírací kapesní nože,Gerber
530457,315,Lezečky Scarpa Veloce,Lezečky Scarpa Veloce,,,Veloce,760804,182914,,2026-03-31 00:00:00,2036-04-20 00:00:00,,,2,3469,3649,true,1,163,,,2026-04-21 00:59:55,,,Horolezecké vybavení,Lezečky (lezecké boty),Lezečky (lezecké boty),Lezečky (lezecké boty),Scarpa
